y_norm,ux_norm
0,-0.00270981
0.00392157,-0.00815179
0.00784314,-0.0136479
0.0117647,-0.019197
0.0156863,-0.0247814
0.0196078,-0.0303748
0.0235294,-0.0359604
0.027451,-0.0415291
0.0313725,-0.0470829
0.0352941,-0.052631
0.0392157,-0.0581885
0.0431373,-0.063773
0.0470588,-0.0694041
0.0509804,-0.0751004
0.054902,-0.08088
0.0588235,-0.0867593
0.0627451,-0.0927527
0.0666667,-0.0988727
0.0705882,-0.10513
0.0745098,-0.111533
0.0784314,-0.118087
0.0823529,-0.124798
0.0862745,-0.131667
0.0901961,-0.138694
0.0941176,-0.145876
0.0980392,-0.153209
0.101961,-0.160686
0.105882,-0.168296
0.109804,-0.176029
0.113725,-0.18387
0.117647,-0.191802
0.121569,-0.199807
0.12549,-0.207865
0.129412,-0.215952
0.133333,-0.224045
0.137255,-0.232118
0.141176,-0.240144
0.145098,-0.248095
0.14902,-0.255941
0.152941,-0.263652
0.156863,-0.271199
0.160784,-0.27855
0.164706,-0.285675
0.168627,-0.292546
0.172549,-0.299131
0.176471,-0.305404
0.180392,-0.311338
0.184314,-0.316908
0.188235,-0.32209
0.192157,-0.326865
0.196078,-0.331212
0.2,-0.335118
0.203922,-0.338569
0.207843,-0.341555
0.211765,-0.34407
0.215686,-0.34611
0.219608,-0.347675
0.223529,-0.348769
0.227451,-0.349397
0.231373,-0.349569
0.235294,-0.349297
0.239216,-0.348596
0.243137,-0.347483
0.247059,-0.345977
0.25098,-0.344101
0.254902,-0.341875
0.258824,-0.339326
0.262745,-0.336477
0.266667,-0.333356
0.270588,-0.329986
0.27451,-0.326396
0.278431,-0.322611
0.282353,-0.318655
0.286275,-0.314553
0.290196,-0.31033
0.294118,-0.306006
0.298039,-0.301604
0.301961,-0.297142
0.305882,-0.292639
0.309804,-0.288112
0.313725,-0.283574
0.317647,-0.279038
0.321569,-0.274517
0.32549,-0.27002
0.329412,-0.265555
0.333333,-0.261129
0.337255,-0.256747
0.341176,-0.252412
0.345098,-0.248128
0.34902,-0.243896
0.352941,-0.239716
0.356863,-0.235588
0.360784,-0.23151
0.364706,-0.227481
0.368627,-0.223498
0.372549,-0.219557
0.376471,-0.215656
0.380392,-0.211789
0.384314,-0.207954
0.388235,-0.204146
0.392157,-0.20036
0.396078,-0.196593
0.4,-0.192839
0.403922,-0.189095
0.407843,-0.185357
0.411765,-0.18162
0.415686,-0.177881
0.419608,-0.174136
0.423529,-0.170382
0.427451,-0.166616
0.431373,-0.162836
0.435294,-0.159037
0.439216,-0.155219
0.443137,-0.151379
0.447059,-0.147515
0.45098,-0.143626
0.454902,-0.13971
0.458824,-0.135766
0.462745,-0.131794
0.466667,-0.127793
0.470588,-0.123761
0.47451,-0.1197
0.478431,-0.115608
0.482353,-0.111485
0.486275,-0.107333
0.490196,-0.10315
0.494118,-0.0989379
0.498039,-0.0946964
0.501961,-0.0904262
0.505882,-0.086128
0.509804,-0.0818025
0.513725,-0.0774504
0.517647,-0.0730726
0.521569,-0.0686699
0.52549,-0.0642432
0.529412,-0.0597934
0.533333,-0.0553215
0.537255,-0.0508285
0.541176,-0.0463154
0.545098,-0.0417831
0.54902,-0.0372326
0.552941,-0.0326651
0.556863,-0.0280813
0.560784,-0.0234824
0.564706,-0.0188692
0.568627,-0.0142428
0.572549,-0.00960411
0.576471,-0.00495397
0.580392,-0.000293275
0.584314,0.00437711
0.588235,0.00905637
0.592157,0.0137437
0.596078,0.0184384
0.6,0.0231398
0.603922,0.0278472
0.607843,0.0325599
0.611765,0.0372775
0.615686,0.0419993
0.619608,0.046725
0.623529,0.0514541
0.627451,0.0561862
0.631373,0.060921
0.635294,0.0656583
0.639216,0.0703977
0.643137,0.0751392
0.647059,0.0798826
0.65098,0.0846278
0.654902,0.0893748
0.658824,0.0941234
0.662745,0.0988738
0.666667,0.103626
0.670588,0.10838
0.67451,0.113135
0.678431,0.117892
0.682353,0.122651
0.686275,0.127412
0.690196,0.132175
0.694118,0.136939
0.698039,0.141704
0.701961,0.14647
0.705882,0.151237
0.709804,0.156004
0.713725,0.160771
0.717647,0.165537
0.721569,0.1703
0.72549,0.175061
0.729412,0.179817
0.733333,0.184567
0.737255,0.18931
0.741176,0.194044
0.745098,0.198766
0.74902,0.203474
0.752941,0.208166
0.756863,0.212839
0.760784,0.21749
0.764706,0.222114
0.768627,0.22671
0.772549,0.231272
0.776471,0.235797
0.780392,0.24028
0.784314,0.244718
0.788235,0.249104
0.792157,0.253434
0.796078,0.257703
0.8,0.261905
0.803922,0.266035
0.807843,0.270089
0.811765,0.274059
0.815686,0.27794
0.819608,0.281727
0.823529,0.285414
0.827451,0.288996
0.831373,0.292468
0.835294,0.295823
0.839216,0.299058
0.843137,0.302168
0.847059,0.305149
0.85098,0.307997
0.854902,0.310709
0.858824,0.313284
0.862745,0.31572
0.866667,0.318018
0.870588,0.320181
0.87451,0.322214
0.878431,0.324126
0.882353,0.32593
0.886275,0.327645
0.890196,0.329296
0.894118,0.330919
0.898039,0.332561
0.901961,0.334284
0.905882,0.336168
0.909804,0.338313
0.913725,0.340846
0.917647,0.343923
0.921569,0.347731
0.92549,0.352496
0.929412,0.35848
0.933333,0.365988
0.937255,0.37536
0.941176,0.386974
0.945098,0.401235
0.94902,0.418565
0.952941,0.439388
0.956863,0.464112
0.960784,0.493093
0.964706,0.526625
0.968627,0.564874
0.972549,0.607883
0.976471,0.655476
0.980392,0.707308
0.984314,0.762723
0.988235,0.820916
0.992157,0.880705
0.996078,0.940938
1,1.00008
