step,max_du
0,0
1,0.0139882
2,0.0167579
3,0.00883318
4,0.0067843
5,0.00754611
6,0.00715283
7,0.00721301
8,0.00518959
9,0.00452608
10,0.00358733
11,0.00363863
12,0.0026586
13,0.00248639
14,0.00217063
15,0.00224619
16,0.00179839
17,0.00186591
18,0.00164927
19,0.00154138
20,0.00149707
21,0.00140739
22,0.00131213
23,0.00125898
24,0.00119377
25,0.00114571
26,0.00110859
27,0.00106453
28,0.00102821
29,0.000998417
30,0.000962425
31,0.000931316
32,0.000900655
33,0.000870233
34,0.000851878
35,0.000829466
36,0.000802128
37,0.000779506
38,0.000762123
39,0.000743493
40,0.000725209
41,0.00070641
42,0.000689859
43,0.000674928
44,0.000659637
45,0.00064476
46,0.000631213
47,0.000617151
48,0.000604351
49,0.000593757
50,0.000582752
51,0.000571253
52,0.000559589
53,0.000549473
54,0.000540393
55,0.000531074
56,0.000521559
57,0.000511895
58,0.000503264
59,0.000495364
60,0.000487508
61,0.00047965
62,0.000471688
63,0.000463653
64,0.000456988
65,0.000450808
66,0.000444389
67,0.000437766
68,0.000430904
69,0.00042525
70,0.000419756
71,0.000414169
72,0.000408474
73,0.000402611
74,0.000397238
75,0.000392435
76,0.000387618
77,0.000382741
78,0.000377733
79,0.000372499
80,0.000368251
81,0.000364123
82,0.000359961
83,0.000355686
84,0.00035121
85,0.000347437
86,0.000343789
87,0.00034007
88,0.000336249
89,0.000332278
90,0.000328672
91,0.000325448
92,0.000322188
93,0.000318851
94,0.000315387
95,0.000311737
96,0.000308824
97,0.000305983
98,0.00030308
99,0.000300065
100,0.000296881
101,0.000294051
102,0.000291451
103,0.000288788
104,0.000286102
105,0.000283329
106,0.000280603
107,0.000278286
108,0.000275925
109,0.000273487
110,0.000270937
111,0.000268309
112,0.000266153
113,0.00026407
114,0.000261922
115,0.000260575
116,0.000257285
117,0.000257126
118,0.000253146
119,0.000253694
120,0.000249252
121,0.000250284
122,0.000244983
123,0.000246899
124,0.000241439
125,0.000243541
126,0.000237732
127,0.000240212
128,0.000233986
129,0.000236914
130,0.00023073
131,0.000233649
132,0.000227198
133,0.000230419
134,0.000223928
135,0.000227224
136,0.000220909
137,0.000224066
138,0.00021751
139,0.000220946
140,0.00021479
141,0.000217864
142,0.000212182
143,0.000214821
144,0.000209651
145,0.000211817
146,0.000207699
147,0.000208852
148,0.000205735
149,0.000205928
150,0.00020376
151,0.000203043
152,0.000201779
153,0.000200466
154,0.000199792
155,0.000199018
156,0.000197803
157,0.000197547
158,0.000195813
159,0.000196056
160,0.000193823
161,0.000194547
162,0.000191836
163,0.000193022
164,0.000189853
165,0.000191483
166,0.000187876
167,0.000189933
168,0.000185948
169,0.000188372
170,0.000184723
171,0.000186803
172,0.000183484
173,0.000185227
174,0.000182231
